Table 1. State Tax Collections Detailed Table: US and States: 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2024 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Taxes,T00,1479422869,16895681,1985846,23595616,12674290,265550679,18473075,23213078,6534362,10414792,63087887,33644287,10574059,8331049,66920244,26123567,12742000,13067651,17220886,15955144,6509073,30911703,43080972,37572346,35666979,10602589,17789696,4723708,8104839,15033314,3586299,51838359,13694047,119727037,39124746,5847708,37466367,13027326,17233968,55198027,5277448,18026495,2678432,24159796,87336700,13437832,4640749,37661144,37342055,6983118,25496076,2639728
Property taxes,T01,26374215,620698,130855,762865,1515978,3558041,X,X,X,3000107,0,862884,X,X,73342,15285,837,952523,808162,131236,39993,994776,15416,2592924,731865,30361,46136,481087,126,1816136,410549,4964,125960,X,X,5818,X,X,20734,44073,5364,92821,X,X,X,X,1307255,45114,4614073,9350,104756,401751
Sales and gross receipts taxes,TA1,678674841,8106236,322606,15342937,6815000,74065328,8136841,9177916,658914,2458439,50501721,12321555,6294856,3758409,27667838,16156604,6241217,5657731,8585807,8127417,3196236,12673025,12302201,18082322,13575926,6845576,7583232,902777,3663203,11417466,1020509,20870072,5344361,34950518,18174648,1881912,25290341,5630902,4219270,27610030,2841178,9497669,2258095,18157169,74929968,5719110,1544093,14316563,28367381,3546594,10641433,1223689
ÿÿÿÿ General sales and gross receipts,T09,468120346,4592131,X,13156640,5068041,53333417,4666039,6231910,X,2000409,40089443,9014691,4787835,3090372,16048964,10959429,4635715,4332249,5802582,4868390,2352375,6853213,9396274,12701637,8493198,5073044,5258805,X,2974813,8408501,X,14907632,4290935,19987219,12157182,1320723,16329461,3810916,1343988,15599908,1633931,6438590,1677538,14080043,54345269,4632048,597330,7395083,22806921,1816544,7747108,1011860
ÿÿÿÿ Selective sales and gross receipts taxes,TA2,210554495,3514105,322606,2186297,1746959,20731911,3470802,2946006,658914,458030,10412278,3306864,1507021,668037,11618874,5197175,1605502,1325482,2783225,3259027,843861,5819812,2905927,5380685,5082728,1772532,2324427,902777,688390,3008965,1020509,5962440,1053426,14963299,6017466,561189,8960880,1819986,2875282,12010122,1207247,3059079,580557,4077126,20584699,1087062,946763,6921480,5560460,1730050,2894325,211829
ÿÿÿÿ ÿÿÿÿ Alcoholic beverages,T10,8382174,283550,40304,88510,80049,418105,56047,65090,31680,7027,341378,223549,51602,11285,311137,55713,17369,170795,195087,76153,18973,34102,98421,196773,111311,41648,49029,48247,32690,50390,12019,180019,24498,276066,598684,10729,118270,180380,22509,473078,21225,222752,20889,327426,1790174,18936,11978,288823,478088,20319,77166,2132
ÿÿÿÿ ÿÿÿÿ Amusements,T11,11743274,0,29794,5887,102519,X,175745,45595,X,121,187505,X,X,X,1440138,621032,344544,313,0,808867,68519,1174292,323071,302400,215477,291893,384529,83384,7636,1234109,422,453100,69900,1465,0,26436,329888,31166,47,2279809,407524,59950,12731,0,26590,X,X,123906,21918,43544,169,7339
ÿÿÿÿ ÿÿÿÿ Insurance premiums,T12,34711968,612835,73921,878984,408579,4013574,547609,241416,156626,170745,2223757,562442,217883,148741,533856,273424,190372,514186,221184,1334058,142287,887149,692021,529226,845671,497792,551714,177555,94200,620936,158526,737875,289685,2494775,1226119,75296,794334,435450,187127,1017628,171801,361495,117056,1458851,4337503,223518,79994,768340,887670,199276,287839,39067
ÿÿÿÿ ÿÿÿÿ Motor fuels,T13,58295898,997040,45770,891325,618053,9238349,718609,559741,136253,21778,3519818,1759944,80796,392848,2781899,1733059,680282,458281,905611,621900,246826,1248840,713227,1452013,888215,452748,1027286,288187,415358,394968,178334,425342,318302,1598546,2491257,189354,2782538,593226,719089,3380028,150733,1029005,197954,1273899,3846520,643143,122874,1872635,1534646,445055,1095905,118489
ÿÿÿÿ ÿÿÿÿ Public utilities,T15,13996217,772759,4627,22181,X,967091,X,338357,53700,158593,1993539,0,159222,2072,1208336,0,76802,314,80710,10306,22837,151423,4150,42726,86005,1808,X,40515,65924,77456,30614,980756,28916,781133,127619,35593,1205241,115484,15565,1395154,102998,28571,3578,10301,874884,65938,10219,476061,807844,132150,420227,5918
