"FIPS","State","County","REDEMP_SNAPS12","PC_WIC_REDEMP12","FOODINSEC_10_12","VLFOODSEC_10_12","FFR11","FFRPTH11","FSR11","FSRPTH11","GROC11","GROCPTH11","CONVS11","CONVSPTH11","SUPERC11","SUPERCPTH11","SNAPS12","SNAPSPTH12","WICS12","WICSPTH12"
"01001","AL","Autauga",301432.081069042,16.63944,17.9,6.8,34,0.615195324515534,32,0.579007364249914,5,0.0904699006640491,31,0.560913384117104,1,0.0180939801328098,37.4166666666667,0.674004155108021,5,0.0900674
"01003","AL","Baldwin",274394.503662651,17.92161,17.9,6.8,121,0.648039546479431,216,1.15683092594675,27,0.144603865743344,107,0.573059764242142,6,0.0321341923874098,138.333333333333,0.725055471111344,27,0.1415168
"01005","AL","Barbour",325496.56076555,40.42276,17.9,6.8,19,0.700615804417567,17,0.626866772373613,6,0.221247096131863,22,0.811239352483499,0,0,34.8333333333333,1.28059017438084,7,0.2573435
"01007","AL","Bibb",356444.032,21.74258,17.9,6.8,6,0.263550909250637,5,0.219625757708864,6,0.263550909250637,19,0.834577879293684,1,0.0439251515417728,16.25,0.719122007346108,5,0.2212683
"01009","AL","Blount",229730.022631579,15.47159,17.9,6.8,20,0.346758673301316,15,0.260069004975987,7,0.121365535655461,30,0.520138009951974,1,0.0173379336650658,38,0.657143845329091,6,0.1037596
"01011","AL","Bullock",211588.91372093,NA,17.9,6.8,4,0.37943464238285,2,0.189717321191425,2,0.189717321191425,2,0.189717321191425,0,0,14.3333333333333,1.36846795239005,2,0.190949
"01013","AL","Butler",345604.868990826,40.12669,17.9,6.8,17,0.823244552058111,14,0.677966101694915,3,0.145278450363196,22,1.06537530266344,1,0.0484261501210654,27.25,1.34190180725858,4,0.1969764
"01015","AL","Calhoun",315617.502598187,24.13542,17.9,6.8,91,0.77251542908563,78,0.662156082073397,24,0.203740332945661,87,0.73855870692802,3,0.0254675416182076,137.916666666667,1.17580025462647,19,0.1619834
"01017","AL","Chambers",327935.788321168,28.52697,17.9,6.8,23,0.677686437431863,18,0.530363298859719,8,0.235717021715431,26,0.76608032057515,1,0.0294646277144288,34.25,1.0054603100047,6,0.176139
"01019","AL","Cherokee",242354.871290323,27.36524,17.9,6.8,17,0.652415857543079,7,0.268641823694209,4,0.153509613539548,17,0.652415857543079,1,0.038377403384887,31,1.19134545175051,6,0.230583
"01021","AL","Chilton",247911.594652406,22.55591,17.9,6.8,21,0.478414397995216,21,0.478414397995216,7,0.159471465998405,33,0.751794053992482,1,0.0227816379997722,46.75,1.06688879253292,7,0.159748
"01023","AL","Choctaw",199087.267959184,NA,17.9,6.8,6,0.440884708648688,6,0.440884708648688,3,0.220442354324344,16,1.1756925563965,0,0,16.3333333333333,1.19807330252573,3,0.2200543
"01025","AL","Clarke",404583.406307054,34.33015,17.9,6.8,24,0.934033858727379,13,0.505935006810664,5,0.194590387234871,16,0.622689239151586,2,0.0778361548939482,40.1666666666667,1.5963859412053,8,0.3179524
"01027","AL","Clay",181439.672459016,NA,17.9,6.8,4,0.28855864954552,6,0.43283797431828,3,0.21641898715914,5,0.3606983119319,0,0,10.1666666666667,0.756729934251334,3,0.2232974
"01029","AL","Cleburne",157971.5238,21.11114,17.9,6.8,8,0.539265251095382,3,0.202224469160768,3,0.202224469160768,9,0.606673407482305,0,0,16.6666666666667,1.12369651204603,5,0.337109
"01031","AL","Coffee",306212.262933333,21.86827,17.9,6.8,36,0.712504453152832,21,0.415627597672485,5,0.0989589518267822,25,0.494794759133911,1,0.0197917903653565,37.5,0.731678763755561,8,0.1560915
"01033","AL","Colbert",263129.279461883,23.41329,17.9,6.8,48,0.880540064572938,31,0.568682125036689,10,0.183445846786029,49,0.898884649251541,1,0.0183445846786029,55.75,1.02395033611285,8,0.1469346
"01035","AL","Conecuh",137903.454505495,NA,17.9,6.8,3,0.228920259442961,5,0.381533765738268,5,0.381533765738268,18,1.37352155665776,0,0,22.75,1.75256143594484,1,0.0770357
"01037","AL","Coosa",218925.344,NA,17.9,6.8,0,0,0,0,0,0,11,1.02678988145244,0,0,5,0.455954769286887,1,0.091191
"01039","AL","Covington",305199.158153846,24.20761,17.9,6.8,23,0.604340743076357,19,0.499238005150034,9,0.236481160334227,33,0.867097587892165,1,0.0262756844815807,48.75,1.28441575549993,9,0.2371229
