Table with row headers in column A and column headers in rows 4 through 5. (Leading dots indicate subpa2021,,,,,,,
"Table 2. Percent Holding Debt for Households, by Type of Debt and States: 2023",,,,,,,
State,Number of Households (thousands),Any Debt,Secured Debt,,,Unsecured Debt,
,,,Total,Home Debt,Vehicle Debt,Total,Credit Card Debt
Total,134100,73,51.8,36.3,30.7,55.4,42
State,,,,,,,
Alabama,2103,66.3,39,25.2,23.6,57.1,42.3
Alaska,228,90.9,71.8,52.9,28.6,53.5,37.8
Arizona,3076,70.6,55.1,42.7,26.4,56,45.5
Arkansas,1285,75.1,54.7,35.2,36.1,60.6,44.2
California,14510,70.9,48.6,33.1,24.9,50.7,41.5
Colorado,2343,74.9,56.9,43.4,26.8,48.6,37.8
Connecticut,1571,74.5,46.2,37.1,22.7,62.4,42.6
Delaware,403,79.6,56.1,37.6,28.4,54.1,49.2
District of Columbia,355,78.7,58.4,41,20,61.2,44.5
Florida,9336,74.7,50.2,32.5,32.3,59.3,45.6
Georgia,4335,78.7,55.2,36.2,31.8,59.2,41.6
Hawaii,559,64.1,47.2,40.3,18.8,41.1,31.3
Idaho,774,76.1,58.9,39.5,34.9,53.1,38.8
Illinois,5074,72.7,50,39.4,28.7,54,41.6
Indiana,2913,75.3,52.9,37.8,32.8,64,43.2
Iowa,1297,69,48.3,38,31.6,54.4,37
Kansas,1113,73.5,59.8,41.1,45.6,53.2,45
Kentucky,1871,75.7,53.6,40.2,37.4,63.4,48.7
Louisiana,1800,64.2,44.1,29,30.4,53.4,38.7
Maine,667,62.1,49.5,26.6,36.6,45.9,37.1
Maryland,2419,78.5,60.3,42.9,35.9,62.8,47.8
Massachusetts,2723,68.7,52,41.5,28.6,51.1,38
Michigan,4286,73.7,55,40.3,35.4,53.5,39.5
Minnesota,2489,78.4,62,48.5,32.3,55.8,36.5
Mississippi,1163,69.8,37.8,25.9,23.9,62.2,45.8
Missouri,2605,74.5,52.9,34.5,30.5,56.6,40.8
Montana,539,75.1,51.8,35.9,36.1,60.3,41
Nebraska,727,69.4,57.4,45.2,35.8,33.6,25.9
Nevada,1263,75.1,54.4,36.6,36.4,55.9,51
New Hampshire,589,73.6,55,42.3,35.9,52.7,43.2
New Jersey,3511,72.2,50.2,37.3,24.8,54.6,42.5
New Mexico,933,70.5,48.7,27,31.5,53.7,41.3
New York,7976,68.3,39.6,28.2,21.6,55.5,43.3
North Carolina,4607,73.8,58.3,37.8,35.9,54.4,43.6
North Dakota,326,65.1,54.3,41.4,29,31.9,26.8
Ohio,4983,73.6,52.2,35,34,58.9,43.8
Oklahoma,1635,78,56.3,27.1,40,56.2,39.9
Oregon,1802,76.2,53.3,39.7,28.8,59.7,47
Pennsylvania,5143,71.1,53.8,39.9,30.6,51.9,39.2
Rhode Island,444,69.6,55.8,52.6,13.6,43.6,31.8
South Carolina,2248,72.7,49.3,33,32,56.9,36.8
South Dakota,298,67.5,43.3,19.5,31.3,56.3,43.8
Tennessee,2918,70.4,49.8,35.9,31.5,54.5,38.2
Texas,11030,73.8,53.3,33.3,35.8,57.9,43.7
Utah,1247,81.2,61.3,39,38.9,57.7,48.1
Vermont,273,81.5,65.3,57.3,53.2,66.4,53.4
Virginia,3464,74.3,56.7,42.3,30.3,50.4,38
Washington,3227,77.7,57.7,46.4,29.4,56.6,41.5
West Virginia,742,66.1,45,33.9,32.3,51.8,32.9
Wisconsin,2609,73.2,55.3,37.7,36.4,53.2,38.5
Wyoming,291,73.2,51,35.8,38.2,63.2,49
Footnotes:,,,,,,,
"NOTE: Sample excludes group quarters and households in which the household reference person was either living outside the United States in December, living in institutionalized group quarters in December, or was living in a non-permanent accommodation in December. Number of households has been rounded to four significant digits. Statistical significance is assessed at the 10 percent level. (D) - Cell suppressed due to a small number of observations. 'Total Secured Debt' includes debt on rental property and real estate in addition to home, vehicle, and business debt. 'Total Unsecured Debt' includes credit card debt, student loans, medical debt, and other debt (such as loans obtained through a bank or credit union, money owed to private individuals, or debt held against mutual funds or stocks). The Census Bureau's Statistical Quality Standards indicate that serious data quality issues related to sampling error occur when the estimated coefficients of variation (defined as a standard error divided by its point estimate) for the majority of the key estimates are larger than 0.3. The number of households represented per state is rounded to four significant digits and then rounded to the nearest thousand people. While this table package meets the Statistical Quality Standards, use caution with estimates having coefficients of variation larger than 0.3 in absolute value as they may suffer from data quality issues. Standard errors for point estimates in this table are in Table 2A. The estimates in this table are based on responses from a sample of the population and may differ from the actual values because of sampling variability and other factors. As a result, apparent differences between the estimates for two or more groups may not be statistically significant. For information on sampling and nonsampling error see: https://www.census.gov/programs-surveys/sipp/methodology/sampling.html. For technical documentation and more information about SIPP data quality, visit the survey's Technical Documentation webpage at https://www.census.gov/programs-surveys/sipp/tech-documentation.html.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Source: U.S. Census Bureau, Survey of Income and Program Participation, Survey Year 2024, Public Use Data, Project No. P-7516454, Dataset D-0000004561, Approval CBDRB-FY25-0258.",,,,,,,
Internet Release Date: 07/24/2025,,,,,,,
