"Notes","County","County Code","Year","Year Code","Injury Intent","Injury Intent Code","Injury Mechanism & All Other Leading Causes","Injury Mechanism & All Other Leading Causes Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",11,60342,18.2,9.1,32.6
,"Baldwin County, AL","01003","2023","2023","Unintentional","1","Fall","GRINJ-003",16,253507,6.3,3.6,10.2
,"Baldwin County, AL","01003","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",33,253507,13.0,9.0,18.3
,"Baldwin County, AL","01003","2023","2023","Unintentional","1","Poisoning","GRINJ-015",72,253507,28.4,22.2,35.8
,"Baldwin County, AL","01003","2023","2023","Suicide","2","Firearm","GRINJ-006",38,253507,15.0,10.6,20.6
,"Baldwin County, AL","01003","2023","2023","Homicide","3","Firearm","GRINJ-006",16,253507,6.3,3.6,10.2
,"Bibb County, AL","01007","2023","2023","Unintentional","1","Poisoning","GRINJ-015",11,21868,50.3,25.1,90.0
,"Blount County, AL","01009","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",23,59816,38.5,24.4,57.7
,"Blount County, AL","01009","2023","2023","Unintentional","1","Poisoning","GRINJ-015",18,59816,30.1,17.8,47.6
,"Bullock County, AL","01011","2023","2023","Unintentional","1","Poisoning","GRINJ-015",10,9897,101.0,48.5,185.8
,"Calhoun County, AL","01015","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",22,116429,18.9,11.8,28.6
,"Calhoun County, AL","01015","2023","2023","Unintentional","1","Poisoning","GRINJ-015",58,116429,49.8,37.8,64.4
,"Calhoun County, AL","01015","2023","2023","Suicide","2","Firearm","GRINJ-006",15,116429,12.9,7.2,21.2
,"Calhoun County, AL","01015","2023","2023","Homicide","3","Firearm","GRINJ-006",12,116429,10.3,5.3,18.0
,"Chambers County, AL","01017","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",13,34079,38.1,20.3,65.2
,"Chambers County, AL","01017","2023","2023","Unintentional","1","Poisoning","GRINJ-015",10,34079,29.3,14.1,54.0
,"Chilton County, AL","01021","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",11,46431,23.7,11.8,42.4
,"Chilton County, AL","01021","2023","2023","Unintentional","1","Poisoning","GRINJ-015",15,46431,32.3,18.1,53.3
,"Colbert County, AL","01033","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",12,58361,20.6,10.6,35.9
,"Colbert County, AL","01033","2023","2023","Unintentional","1","Poisoning","GRINJ-015",24,58361,41.1,26.3,61.2
,"Colbert County, AL","01033","2023","2023","Suicide","2","Firearm","GRINJ-006",15,58361,25.7,14.4,42.4
,"Covington County, AL","01039","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",11,37952,29.0,14.5,51.9
,"Cullman County, AL","01043","2023","2023","Unintentional","1","Fall","GRINJ-003",10,92016,10.9,5.2,20.0
,"Cullman County, AL","01043","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",21,92016,22.8,14.1,34.9
,"Cullman County, AL","01043","2023","2023","Unintentional","1","Poisoning","GRINJ-015",29,92016,31.5,21.1,45.3
,"Cullman County, AL","01043","2023","2023","Suicide","2","Firearm","GRINJ-006",10,92016,10.9,5.2,20.0
,"Dale County, AL","01045","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",14,49871,28.1,15.3,47.1
,"Dale County, AL","01045","2023","2023","Unintentional","1","Poisoning","GRINJ-015",10,49871,20.1,9.6,36.9
,"Dallas County, AL","01047","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",13,36165,35.9,19.1,61.5
,"Dallas County, AL","01047","2023","2023","Unintentional","1","Poisoning","GRINJ-015",12,36165,33.2,17.1,58.0
,"Dallas County, AL","01047","2023","2023","Homicide","3","Firearm","GRINJ-006",23,36165,63.6,40.3,95.4
,"DeKalb County, AL","01049","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",23,72569,31.7,20.1,47.6
,"DeKalb County, AL","01049","2023","2023","Unintentional","1","Poisoning","GRINJ-015",17,72569,23.4,13.6,37.5
,"DeKalb County, AL","01049","2023","2023","Suicide","2","Firearm","GRINJ-006",16,72569,22.0,12.6,35.8
,"Elmore County, AL","01051","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",13,90441,14.4,7.7,24.6
,"Elmore County, AL","01051","2023","2023","Unintentional","1","Poisoning","GRINJ-015",20,90441,22.1,13.5,34.2
,"Elmore County, AL","01051","2023","2023","Suicide","2","Firearm","GRINJ-006",16,90441,17.7,10.1,28.7
,"Escambia County, AL","01053","2023","2023","Unintentional","1","Poisoning","GRINJ-015",13,36558,35.6,18.9,60.8
,"Etowah County, AL","01055","2023","2023","Unintentional","1","Poisoning","GRINJ-015",38,103241,36.8,26.0,50.5
,"Etowah County, AL","01055","2023","2023","Suicide","2","Firearm","GRINJ-006",13,103241,12.6,6.7,21.5
,"Franklin County, AL","01059","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",10,31802,31.4,15.1,57.8
,"Houston County, AL","01069","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",18,108462,16.6,9.8,26.2
,"Houston County, AL","01069","2023","2023","Unintentional","1","Poisoning","GRINJ-015",12,108462,11.1,5.7,19.3
,"Houston County, AL","01069","2023","2023","Suicide","2","Firearm","GRINJ-006",12,108462,11.1,5.7,19.3
,"Jackson County, AL","01071","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",14,53467,26.2,14.3,43.9
,"Jackson County, AL","01071","2023","2023","Unintentional","1","Poisoning","GRINJ-015",11,53467,20.6,10.3,36.8
,"Jefferson County, AL","01073","2023","2023","Unintentional","1","Fall","GRINJ-003",34,662895,5.1,3.6,7.2
,"Jefferson County, AL","01073","2023","2023","Unintentional","1","Fire/Flame","GRINJ-004",15,662895,2.3,1.3,3.7
,"Jefferson County, AL","01073","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",135,662895,20.4,16.9,23.8
,"Jefferson County, AL","01073","2023","2023","Unintentional","1","Poisoning","GRINJ-015",415,662895,62.6,56.6,68.6
,"Jefferson County, AL","01073","2023","2023","Unintentional","1","Suffocation","GRINJ-017",19,662895,2.9,1.7,4.5
,"Jefferson County, AL","01073","2023","2023","Unintentional","1","Unspecified Injury","GRINJ-020",25,662895,3.8,2.4,5.6
,"Jefferson County, AL","01073","2023","2023","Suicide","2","Firearm","GRINJ-006",60,662895,9.1,6.9,11.7
,"Jefferson County, AL","01073","2023","2023","Suicide","2","Suffocation","GRINJ-017",10,662895,1.5,0.7,2.8
,"Jefferson County, AL","01073","2023","2023","Homicide","3","Firearm","GRINJ-006",178,662895,26.9,22.9,30.8
,"Lauderdale County, AL","01077","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",13,96814,13.4,7.1,23.0
,"Lauderdale County, AL","01077","2023","2023","Unintentional","1","Poisoning","GRINJ-015",24,96814,24.8,15.9,36.9
,"Lauderdale County, AL","01077","2023","2023","Suicide","2","Firearm","GRINJ-006",18,96814,18.6,11.0,29.4
,"Lee County, AL","01081","2023","2023","Unintentional","1","Fall","GRINJ-003",12,183215,6.5,3.4,11.4
,"Lee County, AL","01081","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",29,183215,15.8,10.6,22.7
,"Lee County, AL","01081","2023","2023","Unintentional","1","Poisoning","GRINJ-015",34,183215,18.6,12.9,25.9
,"Lee County, AL","01081","2023","2023","Suicide","2","Firearm","GRINJ-006",12,183215,6.5,3.4,11.4
,"Lee County, AL","01081","2023","2023","Homicide","3","Firearm","GRINJ-006",10,183215,5.5,2.6,10.0
,"Limestone County, AL","01083","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",16,114654,14.0,8.0,22.7
,"Limestone County, AL","01083","2023","2023","Unintentional","1","Poisoning","GRINJ-015",13,114654,11.3,6.0,19.4
,"Limestone County, AL","01083","2023","2023","Suicide","2","Firearm","GRINJ-006",11,114654,9.6,4.8,17.2
,"Madison County, AL","01089","2023","2023","Unintentional","1","Fall","GRINJ-003",31,412600,7.5,5.1,10.7
,"Madison County, AL","01089","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",59,412600,14.3,10.9,18.4
,"Madison County, AL","01089","2023","2023","Unintentional","1","Poisoning","GRINJ-015",103,412600,25.0,20.1,29.8
,"Madison County, AL","01089","2023","2023","Unintentional","1","Unspecified Injury","GRINJ-020",15,412600,3.6,2.0,6.0
,"Madison County, AL","01089","2023","2023","Suicide","2","Firearm","GRINJ-006",41,412600,9.9,7.1,13.5
,"Madison County, AL","01089","2023","2023","Suicide","2","Suffocation","GRINJ-017",16,412600,3.9,2.2,6.3
,"Madison County, AL","01089","2023","2023","Homicide","3","Firearm","GRINJ-006",31,412600,7.5,5.1,10.7
,"Marengo County, AL","01091","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",11,18684,58.9,29.4,105.3
,"Marshall County, AL","01095","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",23,100756,22.8,14.5,34.3
,"Marshall County, AL","01095","2023","2023","Unintentional","1","Poisoning","GRINJ-015",26,100756,25.8,16.9,37.8
,"Mobile County, AL","01097","2023","2023","Unintentional","1","Fall","GRINJ-003",24,411640,5.8,3.7,8.7
,"Mobile County, AL","01097","2023","2023","Unintentional","1","Fire/Flame","GRINJ-004",11,411640,2.7,1.3,4.8
,"Mobile County, AL","01097","2023","2023","Unintentional","1","Motor Vehicle Traffic","GRINJ-008",90,411640,21.9,17.6,26.9
,"Mobile County, AL","01097","2023","2023","Unintentional","1","Poisoning","GRINJ-015",132,411640,32.1,26.6,37.5
,"Mobile County, AL","01097","2023","2023","Unintentional","1","Suffocation","GRINJ-017",11,411640,2.7,1.3,4.8
,"Mobile County, AL","01097","2023","2023","Unintentional","1","Unspecified Injury","GRINJ-020",20,411640,4.9,3.0,7.5
,"Mobile County, AL","01097","2023","2023","Suicide","2","Firearm","GRINJ-006",54,411640,13.1,9.9,17.1
,"Mobile County, AL","01097","2023","2023","Suicide","2","Suffocation","GRINJ-017",18,411640,4.4,2.6,6.9
,"Mobile County, AL","01097","2023","2023","Homicide","3","Firearm","GRINJ-006",71,411640,17.2,13.5,21.8
,"Montgomery County, AL","01101","2023","2023","Unintentional","1","Fall","GRINJ-003",10,224980,4.4,2.1,8.2
