"Code","GeoFips","GeoName","CL_UNIT","UNIT_MULT","value","year","key"
"CAGDP1-3","01001","Autauga, AL","Thousands of dollars","3",1510473,2013,"CAGDP1"
"CAGDP1-3","01003","Baldwin, AL","Thousands of dollars","3",5776842,2013,"CAGDP1"
"CAGDP1-3","01005","Barbour, AL","Thousands of dollars","3",812222,2013,"CAGDP1"
"CAGDP1-3","01007","Bibb, AL","Thousands of dollars","3",373402,2013,"CAGDP1"
"CAGDP1-3","01009","Blount, AL","Thousands of dollars","3",884069,2013,"CAGDP1"
"CAGDP1-3","01011","Bullock, AL","Thousands of dollars","3",230567,2013,"CAGDP1"
"CAGDP1-3","01013","Butler, AL","Thousands of dollars","3",570775,2013,"CAGDP1"
"CAGDP1-3","01015","Calhoun, AL","Thousands of dollars","3",4073416,2013,"CAGDP1"
"CAGDP1-3","01017","Chambers, AL","Thousands of dollars","3",780345,2013,"CAGDP1"
"CAGDP1-3","01019","Cherokee, AL","Thousands of dollars","3",535351,2013,"CAGDP1"
"CAGDP1-3","01021","Chilton, AL","Thousands of dollars","3",888321,2013,"CAGDP1"
"CAGDP1-3","01023","Choctaw, AL","Thousands of dollars","3",571104,2013,"CAGDP1"
"CAGDP1-3","01025","Clarke, AL","Thousands of dollars","3",824887,2013,"CAGDP1"
"CAGDP1-3","01027","Clay, AL","Thousands of dollars","3",306433,2013,"CAGDP1"
"CAGDP1-3","01029","Cleburne, AL","Thousands of dollars","3",281106,2013,"CAGDP1"
"CAGDP1-3","01031","Coffee, AL","Thousands of dollars","3",1220474,2013,"CAGDP1"
"CAGDP1-3","01033","Colbert, AL","Thousands of dollars","3",2660889,2013,"CAGDP1"
"CAGDP1-3","01035","Conecuh, AL","Thousands of dollars","3",538759,2013,"CAGDP1"
"CAGDP1-3","01037","Coosa, AL","Thousands of dollars","3",174004,2013,"CAGDP1"
"CAGDP1-3","01039","Covington, AL","Thousands of dollars","3",1169496,2013,"CAGDP1"
"CAGDP1-3","01041","Crenshaw, AL","Thousands of dollars","3",452201,2013,"CAGDP1"
"CAGDP1-3","01043","Cullman, AL","Thousands of dollars","3",2530687,2013,"CAGDP1"
"CAGDP1-3","01045","Dale, AL","Thousands of dollars","3",2837312,2013,"CAGDP1"
"CAGDP1-3","01047","Dallas, AL","Thousands of dollars","3",1244048,2013,"CAGDP1"
"CAGDP1-3","01049","DeKalb, AL","Thousands of dollars","3",1823980,2013,"CAGDP1"
"CAGDP1-3","01051","Elmore, AL","Thousands of dollars","3",1741621,2013,"CAGDP1"
"CAGDP1-3","01053","Escambia, AL","Thousands of dollars","3",1249727,2013,"CAGDP1"
"CAGDP1-3","01055","Etowah, AL","Thousands of dollars","3",2808208,2013,"CAGDP1"
"CAGDP1-3","01057","Fayette, AL","Thousands of dollars","3",395795,2013,"CAGDP1"
"CAGDP1-3","01059","Franklin, AL","Thousands of dollars","3",924112,2013,"CAGDP1"
"CAGDP1-3","01061","Geneva, AL","Thousands of dollars","3",512581,2013,"CAGDP1"
"CAGDP1-3","01063","Greene, AL","Thousands of dollars","3",287969,2013,"CAGDP1"
"CAGDP1-3","01065","Hale, AL","Thousands of dollars","3",295506,2013,"CAGDP1"
"CAGDP1-3","01067","Henry, AL","Thousands of dollars","3",358098,2013,"CAGDP1"
"CAGDP1-3","01069","Houston, AL","Thousands of dollars","3",4471418,2013,"CAGDP1"
"CAGDP1-3","01071","Jackson, AL","Thousands of dollars","3",1594105,2013,"CAGDP1"
"CAGDP1-3","01073","Jefferson, AL","Thousands of dollars","3",40425469,2013,"CAGDP1"
"CAGDP1-3","01075","Lamar, AL","Thousands of dollars","3",315976,2013,"CAGDP1"
"CAGDP1-3","01077","Lauderdale, AL","Thousands of dollars","3",2551166,2013,"CAGDP1"
"CAGDP1-3","01079","Lawrence, AL","Thousands of dollars","3",735626,2013,"CAGDP1"
"CAGDP1-3","01081","Lee, AL","Thousands of dollars","3",4971512,2013,"CAGDP1"
"CAGDP1-3","01083","Limestone, AL","Thousands of dollars","3",3245727,2013,"CAGDP1"
"CAGDP1-3","01085","Lowndes, AL","Thousands of dollars","3",458034,2013,"CAGDP1"
"CAGDP1-3","01087","Macon, AL","Thousands of dollars","3",508228,2013,"CAGDP1"
"CAGDP1-3","01089","Madison, AL","Thousands of dollars","3",20483332,2013,"CAGDP1"
"CAGDP1-3","01091","Marengo, AL","Thousands of dollars","3",683654,2013,"CAGDP1"
"CAGDP1-3","01093","Marion, AL","Thousands of dollars","3",815826,2013,"CAGDP1"
"CAGDP1-3","01095","Marshall, AL","Thousands of dollars","3",3033614,2013,"CAGDP1"
"CAGDP1-3","01097","Mobile, AL","Thousands of dollars","3",18122359,2013,"CAGDP1"
"CAGDP1-3","01099","Monroe, AL","Thousands of dollars","3",678133,2013,"CAGDP1"
"CAGDP1-3","01101","Montgomery, AL","Thousands of dollars","3",12446787,2013,"CAGDP1"
"CAGDP1-3","01103","Morgan, AL","Thousands of dollars","3",4750196,2013,"CAGDP1"
"CAGDP1-3","01105","Perry, AL","Thousands of dollars","3",225444,2013,"CAGDP1"
"CAGDP1-3","01107","Pickens, AL","Thousands of dollars","3",430980,2013,"CAGDP1"
"CAGDP1-3","01109","Pike, AL","Thousands of dollars","3",1167110,2013,"CAGDP1"
"CAGDP1-3","01111","Randolph, AL","Thousands of dollars","3",466530,2013,"CAGDP1"
"CAGDP1-3","01113","Russell, AL","Thousands of dollars","3",1321849,2013,"CAGDP1"
