"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"010010202001"|1|0|0|0|1|1|0|971|50|0|0|0|0|0|0|0|0|0|0
"010010202002"|1|0|0|0|1|1|1|686|39|0|0|0|0|2|2|2|2|35|4.1
"010010203001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|6|1
"010010203002"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|25|1
"010010205011"|1|0|1|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010207001"|2|1|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010207002"|1|0|0|0|1|1|1|413|28|0|0|0|0|0|1|0|1|59|7
"010010208013"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|255|22.9
"010010208041"|1|0|0|1|2|1|0|1845|106|0|0|0|0|0|0|0|0|0|0
"010010209011"|1|0|0|0|1|1|0|445|23|0|0|0|0|0|0|0|0|0|0
"010010209012"|2|0|0|0|2|2|1|1559|91.5|0|0|0|0|0|0|0|0|0|0
"010010210003"|1|0|0|0|1|1|1|623|38|0|0|0|0|0|0|0|0|0|0
"010010211004"|1|0|0|0|1|1|1|250|18|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|4|0|0|0|2|7|5|4|1456|118.9
"010030102001"|1|0|0|0|1|0|1|596|36.73|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|229|12.2|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|1023|61.5|0|0|0|0|0|0|0|0|0|0
"010030103005"|0|0|0|1|1|0|0|0|7.5|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|671|42.33|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|435|27.5|0|0|0|0|0|0|0|0|0|0
"010030105004"|1|0|0|0|1|0|1|804|50.94|0|0|0|0|0|0|0|0|0|0
"010030107072"|1|0|0|0|1|0|1|761|49.9|0|0|0|0|0|0|0|0|0|0
"010030107082"|3|0|0|0|3|0|1|2596|151.69|0|0|0|0|0|0|0|0|0|0
"010030107084"|1|0|0|0|1|0|0|552|39.1|0|0|0|0|0|0|0|0|0|0
"010030107092"|1|0|0|0|1|0|0|1799|96|0|0|0|0|0|0|0|0|0|0
"010030107093"|1|0|0|0|1|0|1|1076|67.54|0|0|0|0|0|0|0|0|0|0
"010030107102"|2|0|0|0|2|0|1|1788|107.43|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|451|26.93|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|1|645|44.1|0|0|0|0|0|0|0|0|0|0
"010030108003"|1|0|0|0|1|0|0|282|24|0|0|0|0|0|0|0|0|0|0
"010030109032"|1|0|0|0|1|0|0|767|45|0|0|0|0|0|0|0|0|0|0
"010030109033"|1|0|0|0|1|0|1|480|33.74|0|0|0|0|0|0|0|0|0|0
"010030109041"|1|0|0|0|1|0|1|362|25.53|0|0|0|0|0|0|0|0|0|0
"010030109043"|1|0|0|0|1|0|1|328|23.33|0|0|0|0|0|0|0|0|0|0
"010030109063"|1|1|0|1|3|0|1|0|88.9|0|0|0|0|0|0|0|0|0|0
"010030109071"|1|0|0|0|1|0|1|481|29.1|0|0|0|0|0|0|0|0|0|0
"010030109082"|1|0|0|0|1|0|0|1509|88|0|0|0|0|0|0|0|0|0|0
"010030110002"|1|0|0|0|1|0|1|617|35.15|0|0|0|0|0|0|0|0|0|0
"010030111021"|1|0|0|0|1|0|1|846|51.3|0|0|0|0|0|0|0|0|0|0
"010030111022"|2|0|0|0|2|0|0|2369|146.94|0|0|0|0|0|0|0|0|0|0
"010030112012"|2|0|0|0|2|0|1|1841|111.6|0|0|0|0|0|0|0|0|0|0
"010030114093"|1|0|0|0|1|0|1|903|56.7|0|0|0|0|0|0|0|0|0|0
"010030114104"|1|0|0|0|1|0|1|149|11.3|0|0|0|0|0|0|0|0|0|0
"010030114142"|1|0|0|0|1|0|1|625|41|0|0|0|0|0|0|0|0|0|0
"010030114171"|1|0|0|0|1|0|0|643|42|0|0|0|0|0|0|0|0|0|0
"010030114181"|3|0|0|0|3|0|1|2644|152|0|0|0|0|0|0|0|0|0|0
"010030115012"|2|0|0|0|2|0|1|1735|112.9|0|0|0|0|0|0|0|0|0|0
"010030115033"|2|0|0|0|2|0|1|2617|151.7|0|0|0|0|0|0|0|0|0|0
"010030116011"|2|0|0|0|2|0|0|1044|61.5|0|0|0|0|0|0|0|0|0|0
"010030116012"|1|0|0|0|1|0|1|998|55.25|1|0|0|0|0|1|1|1|109|13.3
"010059501001"|2|1|0|0|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0
"010059502003"|2|0|0|0|2|2|1|450|26|0|0|0|0|0|0|0|0|0|0
"010059503001"|1|0|0|0|1|1|0|229|9|0|0|0|0|0|0|0|0|0|0
"010059506001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|48|9.6
"010059507001"|1|0|0|0|1|1|1|648|39|0|0|0|0|0|0|0|0|0|0
"010059507002"|1|0|0|0|1|0|0|4578|0|0|0|0|0|0|0|0|0|0|0
"010059508002"|1|0|0|0|1|1|0|484|25|0|0|0|0|0|0|0|0|0|0
"010070100012"|3|0|0|1|4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"010070100053"|1|0|0|0|1|0|1|288|17|0|0|0|0|0|0|0|0|0|0
"010070100071"|1|0|0|0|1|0|1|242|13|0|0|0|0|0|0|0|0|0|0
"010070100072"|1|0|0|0|1|0|0|429|23|0|0|0|0|0|0|0|0|0|0
"010070100091"|1|0|0|0|1|0|1|591|36|0|0|0|0|0|0|0|0|0|0
"010070100101"|1|0|0|0|1|0|0|453|27|0|0|0|0|0|0|0|0|0|0
"010090501031"|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010090501042"|3|0|0|0|3|3|0|1378|87.32|0|0|0|0|0|0|0|0|0|0
"010090501071"|1|0|0|0|1|1|1|664|38.31|0|0|0|0|0|0|0|0|0|0
"010090501072"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|8|2
"010090502001"|2|0|1|1|4|2|2|0|0|0|0|0|0|0|0|0|0|0|0
"010090503012"|2|0|0|0|2|2|1|1051|56.7|0|0|0|0|0|0|0|0|0|0
"010090505011"|2|0|0|0|2|2|1|1202|63.73|0|0|0|0|0|0|0|0|0|0
"010090506033"|1|0|0|0|1|1|0|507|25.07|0|0|0|0|0|0|0|0|0|0
"010090506043"|3|0|0|0|3|3|1|1634|91.86|0|0|0|0|0|0|0|0|0|0
"010090507012"|1|0|0|0|1|1|1|818|45.67|0|0|0|0|0|0|0|0|0|0
"010090507022"|2|0|0|0|2|2|1|954|50.45|0|0|0|0|0|0|0|0|0|0
"01011"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|85|8.6
"010119522011"|2|0|0|0|2|2|0|830|47|0|0|0|0|0|0|0|0|0|0
"010119522012"|1|0|0|0|1|1|1|537|27|0|0|0|0|0|0|0|0|0|0
"010119522021"|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010139528001"|3|0|0|0|3|3|1|1357|73|0|0|0|0|0|0|0|0|0|0
"010139529002"|1|0|0|1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0
"010139534001"|1|0|0|0|1|1|1|406|22|0|0|0|0|0|0|0|0|0|0
"010139535001"|1|0|0|0|1|1|1|467|22.3|0|0|0|0|0|0|0|0|0|0
"01015"|0|0|0|0|0|0|0|0|0|2|0|0|0|0|3|1|1|207|27.4
"010150002002"|1|0|0|0|1|1|0|480|28.67|1|0|0|0|0|1|1|0|79|16.3
"010150004003"|1|0|0|0|1|1|0|352|15|0|0|0|0|0|0|0|0|0|0
"010150005002"|1|0|0|0|1|1|1|287|17|0|0|0|0|0|0|0|0|0|0
"010150007002"|2|1|0|0|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0
"010150009001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|318|28.3
"010150010001"|1|0|0|0|1|1|0|396|23|1|0|0|0|0|1|1|1|252|39.1
"010150012012"|1|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010150012021"|2|0|0|0|2|0|0|1146|86|0|0|0|0|0|0|0|0|0|0
"010150012022"|1|0|0|0|1|0|1|801|64|0|0|0|0|0|0|0|0|0|0
"010150013002"|2|0|0|0|2|0|1|1009|64|0|0|0|0|0|0|0|0|0|0
"010150015011"|1|0|0|0|1|0|1|389|26.4|0|0|0|0|0|0|0|0|0|0
"010150016003"|3|1|0|0|4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"010150018021"|1|0|0|0|1|0|0|477|29.3|0|0|0|0|0|0|0|0|0|0
