"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"est_avg_inst_staff_salary"|"no_reported_inst_staff"
"010030103001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|5800|83|0|190|11240738|59161.7789473684|0
"010030107041"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|14220|14220|16065|16065|NA|35|9|12|799154|66596.1666666667|0
"010030107051"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|14220|14220|16065|16065|NA|35|9|12|799154|66596.1666666667|0
"010030114033"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|5040|5040|4950|4950|NA|370|147|268|13926352|51964|0
"010030115021"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010030115022"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010030116014"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|5040|5040|4950|4950|NA|370|147|268|13926352|51964|0
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|9000|18000|8904|17808|7128|573|225|630|40464360|64229.1428571429|0
"010150021012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|9000|18000|8904|17808|7128|573|225|630|40464360|64229.1428571429|0
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|73|32|100|5812510|58125.1|0
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|119|43|150|7745826|51638.84|0
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|3510|7020|NA|NA|NA|26|7|38|2046986|53868.0526315789|0
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|67|33|112|5530928|49383.2857142857|0
"010439654012"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|4600|166|65|252|13555284|53790.8095238095|0
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|131|48|260|13686222|52639.3153846154|0
"010479561004"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|91|38|114|5079682|44558.6140350877|0
"010479564001"|0|1|0|1|0|0|0|1|1|1|0|0|1|0|0|9920|9920|NA|NA|5700|73|6|42|2354000|56047.619047619|0
"010479568001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|5491|5491|3000|3000|5000|39|12|16|600400|37525|0
"010510309011"|0|1|0|0|0|0|0|0|0|1|1|0|1|0|0|4212|4212|NA|NA|NA|79|20|78|4358926|55883.6666666667|0
"010539699002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|5600|37|12|68|3651882|53704.1470588235|0
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|3600|212|87|294|16032558|54532.5102040816|0
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010719511003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|67|34|114|6823044|59851.2631578947|0
"010730027001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|8040|18368|7588|17294|11682|3164|730|1720|189812380|110356.034883721|0
"010730030011"|0|1|0|0|0|0|0|1|1|1|0|0|0|1|0|33200|33200|NA|NA|11920|201|90|190|12368436|65097.0315789474|0
"010730037001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730045001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|8040|18368|7588|17294|11682|3164|730|1720|189812380|110356.034883721|0
"010730051043"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|12560|12560|10560|10560|NA|18|3|24|1266098|52754.0833333333|0
"010730058001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|14382|14382|13440|13440|NA|143|70|108|4367506|40439.8703703704|0
"010730106022"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|10632|10632|NA|NA|7042|169|76|162|7719940|47653.950617284|0
"010730106025"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|10632|10632|NA|NA|7042|169|76|162|7719940|47653.950617284|0
"010730107041"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|28552|28552|18530|18530|9830|641|327|704|60500848|85938.7045454545|0
"010730107042"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|28552|28552|18530|18530|9830|641|327|704|60500848|85938.7045454545|0
"010730107062"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|11592|11592|NA|NA|NA|10|1|8|456118|57014.75|0
"010730112091"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|NA|188|86|290|16989630|58584.9310344828|0
"010730117032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730117034"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730128031"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|14040|14040|14325|14325|NA|11|2|10|588732|58873.2|0
"010730128032"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|14040|14040|14325|14325|NA|11|2|10|588732|58873.2|0
"010730131004"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3510|7020|NA|NA|4760|143|67|172|9235202|53693.0348837209|0
"010730132001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730142041"|0|1|0|0|0|0|0|1|1|0|0|0|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730143021"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|12736|12736|NA|NA|NA|17|1|20|1116460|55823|0
"010730144091"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010770101001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|6336|12672|5598|11196|7284|439|139|504|33372222|66214.7261904762|0
"010770101002"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|6336|12672|5598|11196|7284|439|139|504|33372222|66214.7261904762|0
"010770115011"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|8952|8952|3762|3762|4140|22|3|8|478150|59768.75|0
"010770115014"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|8952|8952|3762|3762|4140|22|3|8|478150|59768.75|0
"010810407002"|0|1|1|0|0|1|0|1|1|1|0|0|0|0|1|9072|27216|9072|27216|12898|3777|1289|2524|245657906|97328.8058637084|0
"010830207001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|5730|11460|5850|5850|NA|145|55|162|12850996|79327.1358024691|0
