"geography","year","industry","Emp","EmpEnd","EmpS","FrmJbCS","FrmJbLsS"
"01001",2024,"00",10891,NA,NA,NA,NA
"01001",2024,"11",98,NA,NA,NA,NA
"01001",2024,"21",42,NA,NA,NA,NA
"01001",2024,"22",76,NA,NA,NA,NA
"01001",2024,"23",642,NA,NA,NA,NA
"01001",2024,"31-33",2049,NA,NA,NA,NA
"01001",2024,"42",607,NA,NA,NA,NA
"01001",2024,"44-45",2171,NA,NA,NA,NA
"01001",2024,"48-49",197,NA,NA,NA,NA
"01001",2024,"51",90,NA,NA,NA,NA
"01001",2024,"52",487,NA,NA,NA,NA
"01001",2024,"53",108,NA,NA,NA,NA
"01001",2024,"54",428,NA,NA,NA,NA
"01001",2024,"55",100,NA,NA,NA,NA
"01001",2024,"56",341,NA,NA,NA,NA
"01001",2024,"61",171,NA,NA,NA,NA
"01001",2024,"62",1217,NA,NA,NA,NA
"01001",2024,"71",351,NA,NA,NA,NA
"01001",2024,"72",1344,NA,NA,NA,NA
"01001",2024,"81",373,NA,NA,NA,NA
"01003",2024,"00",74949,NA,NA,NA,NA
"01003",2024,"11",697,NA,NA,NA,NA
"01003",2024,"21",65,NA,NA,NA,NA
"01003",2024,"22",300,NA,NA,NA,NA
"01003",2024,"23",6274,NA,NA,NA,NA
"01003",2024,"31-33",4067,NA,NA,NA,NA
"01003",2024,"42",2647,NA,NA,NA,NA
"01003",2024,"44-45",14289,NA,NA,NA,NA
"01003",2024,"48-49",2086,NA,NA,NA,NA
"01003",2024,"51",670,NA,NA,NA,NA
"01003",2024,"52",2042,NA,NA,NA,NA
"01003",2024,"53",2462,NA,NA,NA,NA
"01003",2024,"54",3669,NA,NA,NA,NA
"01003",2024,"55",280,NA,NA,NA,NA
"01003",2024,"56",4673,NA,NA,NA,NA
"01003",2024,"61",1315,NA,NA,NA,NA
"01003",2024,"62",11295,NA,NA,NA,NA
"01003",2024,"71",1977,NA,NA,NA,NA
"01003",2024,"72",13499,NA,NA,NA,NA
"01003",2024,"81",2640,NA,NA,NA,NA
"01005",2024,"00",6592,NA,NA,NA,NA
"01005",2024,"11",213,NA,NA,NA,NA
"01005",2024,"21",60,NA,NA,NA,NA
"01005",2024,"22",32,NA,NA,NA,NA
"01005",2024,"23",146,NA,NA,NA,NA
"01005",2024,"31-33",2388,NA,NA,NA,NA
"01005",2024,"42",72,NA,NA,NA,NA
"01005",2024,"44-45",763,NA,NA,NA,NA
"01005",2024,"48-49",253,NA,NA,NA,NA
"01005",2024,"51",8,NA,NA,NA,NA
"01005",2024,"52",436,NA,NA,NA,NA
"01005",2024,"53",38,NA,NA,NA,NA
"01005",2024,"54",68,NA,NA,NA,NA
"01005",2024,"55",7,NA,NA,NA,NA
"01005",2024,"56",243,NA,NA,NA,NA
"01005",2024,"61",NA,NA,NA,NA,NA
"01005",2024,"62",876,NA,NA,NA,NA
"01005",2024,"71",82,NA,NA,NA,NA
"01005",2024,"72",734,NA,NA,NA,NA
"01005",2024,"81",114,NA,NA,NA,NA
"01007",2024,"00",3691,NA,NA,NA,NA
"01007",2024,"11",68,NA,NA,NA,NA
